Interest Code;Job Zone;Code;Occupation
SE;4;21-2021.00;Directors, Religious Activities and Education
SE;4;11-9179.01;Fitness and Wellness Coordinators
SE;3;39-7011.00;Tour Guides and Escorts
SEC;1-2;39-6012.00;Concierges
SEC;5;11-9032.00;Education Administrators, Kindergarten through Secondary
SEC;5;11-9033.00;Education Administrators, Postsecondary
SEC;4;11-9031.00;Education and Childcare Administrators, Preschool and Daycare
SEC;1-2;35-9031.00;Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop
SEC;1-2;39-7012.00;Travel Guides
SEI;5;25-9031.00;Instructional Coordinators
SER;4;27-2022.00;Coaches and Scouts
SER;4;39-9032.00;Recreation Workers
SI;4;29-1141.01;Acute Care Nurses
SI;5;29-1141.02;Advanced Practice Psychiatric Nurses
SI;5;25-1041.00;Agricultural Sciences Teachers, Postsecondary
SI;5;25-1061.00;Anthropology and Archeology Teachers, Postsecondary
SI;5;25-1062.00;Area, Ethnic, and Cultural Studies Teachers, Postsecondary
SI;5;25-1051.00;Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary
SI;5;25-1042.00;Biological Science Teachers, Postsecondary
SI;5;25-1011.00;Business Teachers, Postsecondary
SI;3;25-1194.00;Career/Technical Education Teachers, Postsecondary
SI;5;19-3033.00;Clinical and Counseling Psychologists
SI;5;25-1122.00;Communications Teachers, Postsecondary
SI;5;25-1021.00;Computer Science Teachers, Postsecondary
SI;5;25-1111.00;Criminal Justice and Law Enforcement Teachers, Postsecondary
SI;5;29-1031.00;Dietitians and Nutritionists
SI;5;25-1063.00;Economics Teachers, Postsecondary
SI;5;25-1081.00;Education Teachers, Postsecondary
SI;5;29-1215.00;Family Medicine Physicians
SI;5;25-1192.00;Family and Consumer Sciences Teachers, Postsecondary
SI;5;25-1043.00;Forestry and Conservation Science Teachers, Postsecondary
SI;5;25-1064.00;Geography Teachers, Postsecondary
SI;5;25-1071.00;Health Specialties Teachers, Postsecondary
SI;5;21-1022.00;Healthcare Social Workers
SI;5;25-1125.00;History Teachers, Postsecondary
SI;5;29-1229.02;Hospitalists
SI;5;25-1112.00;Law Teachers, Postsecondary
SI;5;21-1013.00;Marriage and Family Therapists
SI;5;21-1014.00;Mental Health Counselors
SI;5;21-1023.00;Mental Health and Substance Abuse Social Workers
SI;5;29-1161.00;Nurse Midwives
SI;5;25-1072.00;Nursing Instructors and Teachers, Postsecondary
SI;5;29-1122.00;Occupational Therapists
SI;5;29-1221.00;Pediatricians, General
SI;5;25-1126.00;Philosophy and Religion Teachers, Postsecondary
SI;5;25-1054.00;Physics Teachers, Postsecondary
SI;5;25-1065.00;Political Science Teachers, Postsecondary
SI;3;29-2053.00;Psychiatric Technicians
SI;5;25-1066.00;Psychology Teachers, Postsecondary
SI;5;25-1193.00;Recreation and Fitness Studies Teachers, Postsecondary
SI;4;29-1125.00;Recreational Therapists
SI;5;25-1113.00;Social Work Teachers, Postsecondary
SI;5;25-1067.00;Sociology Teachers, Postsecondary
SI;4;25-2056.00;Special Education Teachers, Elementary School
SI;4;25-2058.00;Special Education Teachers, Secondary School
SI;5;21-1011.00;Substance Abuse and Behavioral Disorder Counselors
SI;4;13-1151.00;Training and Development Specialists
SIA;5;25-1031.00;Architecture Teachers, Postsecondary
SIA;5;25-1123.00;English Language and Literature Teachers, Postsecondary
SIA;5;25-1124.00;Foreign Language and Literature Teachers, Postsecondary
SIC;5;29-1141.04;Clinical Nurse Specialists
SIC;4;29-1141.03;Critical Care Nurses
SIC;4;21-1091.00;Health Education Specialists
SIC;5;25-1082.00;Library Science Teachers, Postsecondary
SIC;5;25-1022.00;Mathematical Science Teachers, Postsecondary
SIC;3;29-2099.08;Patient Representatives
SIC;5;29-1071.00;Physician Assistants
SIC;1-2;31-1133.00;Psychiatric Aides
SIC;5;19-3034.00;School Psychologists
SIC;5;29-1127.00;Speech-Language Pathologists
SIR;5;29-1291.00;Acupuncturists
SIR;5;25-1032.00;Engineering Teachers, Postsecondary
SIR;5;25-9021.00;Farm and Home Management Educators
SIR;5;29-1151.00;Nurse Anesthetists
SIR;5;29-1123.00;Physical Therapists
SR;3;39-9031.00;Exercise Trainers and Group Fitness Instructors
SR;5;29-9099.01;Midwives
SRC;1-2;31-1121.00;Home Health Aides
SRC;3;31-1131.00;Nursing Assistants
SRC;3;31-2012.00;Occupational Therapy Aides
SRC;1-2;31-2022.00;Physical Therapist Aides
SRC;3;31-2021.00;Physical Therapist Assistants
SRI;5;29-9091.00;Athletic Trainers
SRI;5;29-1011.00;Chiropractors
SRI;3;29-1292.00;Dental Hygienists
SRI;3;29-2042.00;Emergency Medical Technicians
SRI;5;29-1122.01;Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists
SRI;3;31-9011.00;Massage Therapists
SRI;3;29-2043.00;Paramedics
SRI;4;19-1031.03;Park Naturalists
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
